City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
670,Maxixe,MZ,76.82,few clouds,-23.8597,35.3472,
671,Bubaque,GW,83.91,broken clouds,11.2833,-15.8333,
672,Namalenga,TZ,75.13,clear sky,-10.95,39.1,
673,Sarakhs,IR,52.27,broken clouds,36.5449,61.1577,
674,Constitucion,CL,61.02,clear sky,-35.3333,-72.4167,
675,Along,IN,55.45,broken clouds,28.1667,94.7667,
677,Panzhihua,CN,55.27,clear sky,26.5851,101.7128,
679,Basco,PH,77.92,broken clouds,20.4487,121.9702,
680,Trelew,AR,56.62,broken clouds,-43.248999999999995,-65.3051,
681,Kelso,US,62.46,heavy intensity rain,46.1468,-122.9084,
683,Mtambile,TZ,78.64,few clouds,-5.3833,39.7,
684,Mutoko,ZW,68.38,clear sky,-17.397000000000002,32.2268,
685,Alice Springs,AU,56.75,clear sky,-23.7,133.8833,
686,Axim,GH,80.02,overcast clouds,4.8699,-2.2405,
689,Veraval,IN,76.71,broken clouds,20.9,70.3667,
690,Qena,EG,75.25,clear sky,26.1615,32.7183,
695,Belmonte,BR,72.1,overcast clouds,-15.8631,-38.8828,
697,Englewood,US,76.32,broken clouds,39.6478,-104.9878,
699,Cukai,MY,78.94,overcast clouds,4.25,103.4167,
701,Half Moon Bay,US,73.89,haze,37.4636,-122.4286,
702,Cayeli,TR,56.95,overcast clouds,41.0923,40.7292,
